ID,collection_year,country,div_domain,div_type,performance,N_team,N_ind,students
10.3846/jbem.2018.6579,,Taiwan,job-related,Educational and Functional,Resilient performance,,168,no
10.1108/cms-12-2020-0564,,,job-related,Entrepreneurial team heterogeneity,Decision-making,162,,no
10.5465/ambpp.2021.11788abstract,,,cognitive,of team's functional skills and familiarity among members,Growth speed,248,,no
10.1007/s10961-015-9428-5,2015,Spain,,,Entrepreneurial orientation,167,,no
10.5465/ambpp.2020.12533abstract,,China,,,Creativity,"224 teams in study 1, 94 teams in study 2","541 employees, 224 leaders, 19 regional managers in study 1, 94 leaders, and 222 team members of entrepreneurship teams in China in study 2",no
10.1007/s10869-013-9301-1,2013,,,,Innovation,124,531,no
10.5465/ambpp.2014.11432abstract,,China,,,Entrepreneurial team performance,144,,no
10.1111/j.1744-6570.2010.01170.x,2010,,,,Performance improvement,,,no
10.5465/ambpp.2017.12023abstract,,,cognitive,Knowledge heterogeneity,Team innovativeness,81,,no
10.1080/09537325.2021.1892056,2015 [2013-2017],China,job-related,,Open innovation (inbound and outbound),150,,no
10.1111/joop.12277,,,,,Creativity and job crafting,38,187,no
10.1108/jkm-08-2020-0620,,China,cognitive; job-related,Knowledge variety and power disparity,Team creativity,67,,no
10.3390/ijerph17010048,2019,China,job-related,"Status capital, decision capital, online reputation, professional knowledge",Team performance,1568,5481,no
10.1016/j.ijproman.2016.05.009,,,,,,,,no
10.1016/j.respol.2010.04.001,,,demographic; cognitive; job-related,,Innovativeness and firm performance,,,no
10.1002/job.1853,,,,Human capital,Creativity,36,,yes
10.1177/10596011211024429,,,,,Individual and team performance,70,298,no
10.5465/ambpp.2020.18230abstract,,,,,Performance in teams,70,298,no
10.3389/fpsyg.2022.726708,,China,,Expertise,Team innovation,135,,no
10.5465/ambpp.2015.14102abstract,,,,,Creativity,59,321,no
10.5465/ambpp.2015.19014abstract,,,,,,,,no
10.1111/jpim.12439,,European firm,cognitive,Knowledge,Idea selection,,,no
10.1037/10189-012,,,,ethnic,team performance,,,
10.2139/ssrn.3337238,,,,,,,,
10.2139/ssrn.3505619,,United States,,Ethnic,Decision-making,,,no
10.1016/j.leaqua.2016.10.014,,United States,,,"Job satisfaction, in-role performance, and helping behavior",,961,no
10.1007/s13520-022-00154-1,,,,,teamwork/collaboration,,,no
10.5465/ambpp.2021.125,2011.5 [2005-2018],United States,demographic,Gender,Innovation,,,no
10.1016/s0378-7206(03)00076-4,,US & India,demographic,,Decision-making,,,no
10.1504/ijbir.2011.041051,2011,,job-related,Demographic and knowledge,Various team outcomes,62,,no
6141,,,,,Implementation performance of manufacturing process innovation,,,no
10.1080/14778238.2021.1939173,2021,,,,Co-located software project performance,2,,no
10.1109/i4ct.2014.6914186,2014,,job-related,Gender,Software development team performance,,,no
36091,,,demographic,,Team performance,,,
10.1080/13561820.2017.1366895,,,,Health professions,Student perceptions of interprofessional teamwork,,,yes
10.3926/jiem.3037,,Indonesia,,"Work, social, and ideology",Project performance,102,395,no
10.1080/1540496x.2018.1474345,,China,job-related,Functional experience,New venture performance,,,no
4225,,Kazakhstan,,Knowledge,Financial performance,,,no
43487,2013.5 [2010-2017],,job-related,,Innovation (measured by patent filings and citations),,,no
10.1002/jsc.2261,,Emerging market context,demographic,"Sociodemographic faultlines (based on age, caste, and language)",Speed of foreign direct investment expansion,,,no
10.1080/09585192.2021.2013923,,,job-related,Gender,Firms' value and financial performance,,,no
10.1142/s0219649217500101,2017,,cognitive; job-related,,Innovation,,202,no
10.5465/ambpp.2007.26520041,,,,,Business simulation,35,,no
10.1177/00076503221120570,,,,,Corporate sustainability performance,,,no
26164,,,,,Improving NPD performance and project speed,,,no
10.5465/ame.2003.9474814,,,,,Creativity,,,
10.1007/s11575-012-0159-7,,"Netherlands, Switzerland, UK",demographic,Nationality,Firm Performance,,,no
10.4324/9780203848784,,,cognitive,Member,"Idea-generation, problem-solving, judgment, and decision-making",,,
10.1287/msom.2020.0940,,,job-related,Disability,Productivity,,,no
10.5465/ambpp.2019.13571abstract,,,demographic,National,Team performance,111 multinational teams,,no
10.1111/radm.12474,,Italy,job-related,Vertical (academic vs non-academic),Academic spin-off performance,164,,no
10.22381/pihrm4220161,,,cognitive; demographic; job-related,,Creativity and problem-solving,,,no
10.1177/00222437211021835,,,,,Team Performance,,,no
10.1016/j.dss.2010.03.004,,,,Demographic,Creativity,,,no
10.1111/j.1750-4716.2008.00017.x,,,,,Negotiation (task conflict and joint profit),,,yes
10.1177/104649640103200302,,,,,Task and social orientations of self-managed work teams,100,,no
10.1037/10290-025,,,cognitive,Learning styles,Complex task requiring interdependence,,113,yes
10.1177/00187267211038521,,,,,Group performance,107,1419,no
10.1109/ieem.2014.7058744,,,,Age,Team performance,21,,no
10.1108/13527590510635134,,,job-related,,Team performance,28,270,no
10.1016/j.ijhm.2019.05.003,2019,Australia,demographic,Ethnic,Innovation and Financial effectiveness,,,no
10.1007/s11365-013-0274-3,,,job-related,Informational,Entrepreneurial team performance,,,no
10.1177/1059601117716008,,China,,Informational faultlines,Team creativity,66,,no
5023,,,cognitive,Ethnic,Creativity,,48 and 160,
10.1111/caim.12438,,Taiwan,,,Team creativity,88,352,no
10.1163/1571806042402983,,,demographic; cognitive; job-related,,creativity,,,
10.1080/1359432x.2014.1001377,,Israel,cognitive,Professional heterogeneity,Innovation,55,,no
10.2139/ssrn.2556692,,,demographic,ethnic,innovation,,"2,500",no
10.5465/ambpp.2017.13296abstract,,,job-related,Expertise,Innovation,,,no
4059,,,,cultural and functional,innovation and technology assimilation,,,
10.1111/joop.12079,,,,,Creativity,,,no
10.1109/hicss.2015.451,2015,,job-related,,Innovation,,202,no
21344,,,cognitive; job-related,Knowledge and expertise,Innovation,,,no
10.5465/ambpp.2014.15177symposium,,,,,"Group level outcomes, Team conflict and Team Performance",,,
10.1108/tpm-12-2014-0062,,,,,,33,131,no
10.2139/ssrn.732663,,,,Ethnic,Team Performance,,,no
10.1037/1089-2699.11.2.79,2007,,demographic; cognitive; job-related,Informational,Team functioning,70,,no
10.1371/journal.pone.0278043,,,demographic; cognitive; job-related,,"Scientific output (i.e., number of journal papers and citations)",22,,no
10.1016/j.sbspro.2014.03.061,,,job-related,,Creativity,,,no
10.1111/j.1467-8691.2007.00426.x,,Canada,cognitive; demographic,Interdisciplinary heterogeneity,Product innovativeness,,,no
10.1287/orsc.2013.0878,2014,,demographic,Sex composition,Creativity,,,no
10.1111/apce.12076,,,,,Board performance,,,no
10.1080/02650487.2016.1231970,Last 10 years,,demographic,,Research performance,,,no
10.5465/ambpp.2021.28,,,,,Organizational performance,270 TMTs,,no
10.1108/20426781111162675,2006,,demographic,International experiential,Relative team performance,32,736,no
10.1016/j.respol.2019.01.002,2005,,,,Novelty and conventionality in knowledge recombination,,,no
10.5465/257100,,,,,Financial,,,no
4489,,Netherlands,job-related,Functional heterogeneity,Team performance,143,1105 professionals and 97 supervisors,no
10.1108/10444060710833469,,,cognitive,Cultural,Group outcomes (satisfaction and perceived performance),76,,no
10.1080/12460125.2016.1187406,2016,22 countries,cognitive,Intuitive decision-making style,Team performance,48,188,no
10.1016/j.respol.2022.104629,1996.5 [1976-2017],United States,,,"Invention (specifically, performance in patents)",,Approximately 1.2 million inventors,no
36353,,,cognitive,Disciplinary,Functional creativity,,,yes
10.1111/ncmr.12173,,,demographic,Racial,Decision-making,,,
41352,,Saudi Arabia,,,Organizational innovation,,250,no
10.1109/ieem.2013.6962412,2013,,demographic,Age,Creativity,2 (age heterogeneous and age homogeneous),,no
10.2139/ssrn.1612531,,,,,Group performance,,,
10.1080/00036846.2018.1470315,,,job-related,"Cultural, language, skill",Team performance,,,no
43213,,China,,Personality,Team processes,84,584,no
23996,,,job-related,Informational,Entrepreneurial team performance,144,,no
10.1027/1866-5888/a000020,,,,Age,Team performance,26,96,no
41373,,,,Demographic and functional,Group creativity,,,no
5194,2012.5 [2010-2015],United States,,,"Firm performance, firm commitment to diversity, and TMT pay disparity",,182 CEOs,
10.1177/1059601106287111,,,job-related,"Gender, Ethnicity, Collectivism cultural values, Tenure",Group efficacy and team reputation,57,,no
10.22495/cocv10i2art6,,Sweden,demographic,"Cultural, age, tenure and gender",Financial performance,,,no
10.1287/orsc.2013.0855,,,,,Firm Performance,380,,no
10.1002/job.2445,,,,,creativity,,,no
10.5465/ambpp.2015.18396abstract,,,job-related,race,Firm performance,,,no
10.1007/s10997-017-9394-4,2017,,job-related,,The comprehensiveness and speed of board decision-making processes,,,no
10.1108/00251741111151145,,,job-related,,Action team performance,30,,no
10.5465/amj.2018.1386,,,job-related,,Startup survival,,,no
10.1111/j.1464-0597.2004.00164.x,,,,Gender,Project grade and group cohesion,45,260,yes
10.1016/s0149-2063(03)00033-3,2003,,job-related,Group,Innovation,41,343,no
10.1108/jocm-01-2016-0021,,,cognitive,Knowledge heterogeneity,Dynamics and ambidexterity innovation,,,no
10.1016/s0925-5273(01)00147-5,2002,Sweden,,,Innovation sales/ productivity,,,no
10.1016/j.jbusres.2020.06.052,,South Korea,cognitive; job-related,,Team performance,384,,no
10.1007/s10551-014-2462-7,,Spain,demographic,Gender,Innovation,,,no
10.5465/ambpp.2008.33649985,,Australia; Ireland,,Cultural and functional,Task performance,,,no
36427,98,,job-related,Knowledge and expertise of staff,Project performance,,,no
36428,98,,,,Creativity,,60,no
6044,,,,,,,,no
10.7202/1008711ar,1982 [1954-2010],Brazil,,,Team performance,,,no
10.1177/1059601111415664,,,,Ethnic and nationality,Leader and team performance,,"99 leaders, 321 followers",no
10.1037/apl0000277,2017,China,,,Creativity,72,354,no
10.5465/ambpp.2019.10402abstract,,England,job-related,National,Team performance,,,no
10.1177/1059601108331220,,United States,demographic,Gender,Work-group Performance,65,224,no
10.1108/02610151211277581,,Australia,demographic,,Group performance and morale,89,585,no
10.1177/1059601114550711,,,job-related,Organizational tenure,"Creative behavior, job satisfaction, team innovativeness, team performance, and team conflict",34,,no
10.5465/ambpp.2013.15464abstract,,,job-related,Educational level,Team performance,156,,no
10.1061/(asce)co.1943-7862.0002147,,Australia,demographic,Gender,Financial performance,,,no
4184,,Canada,demographic,"Age, Nationality, Educational",Team Performance,,,no
10.1142/s0219877016500073,,,,,team performance,,,no
10.1002/jls.21677,2020,,,,Team Performance in New Product Development Virtual Teams,44 (19 globally dispersed VTs and 25 nationally dispersed VTs),,no
10.1016/j.leaqua.2004.04.004,,,,,Creativity,55,195,yes
4700,,,job-related,,Work group effectiveness and turnover intention,,242,no
10.1002/bse.2247,,,job-related,Functional,Triple bottom line (TBL) performance,22,,no
10.1007/978-3-030-25629-6_56,,,,,,,,
10.2753/imo0020-8825400201,,,,,Innovation,,,no
10.4324/9781315232904-9,,,demographic; cognitive; job-related,Ethnic (implied),Creativity and innovation (implied),,,no
43611,,,job-related,Expertise,Team learning and performance,,,no
10.1007/s12144-021-02617-3,,Taiwan,,,Innovative/creative performance,10,491 (78 team leaders and 413 other employees),no
10.1287/mnsc.1060.0687,,,,,Productivity,,,no
10.1177/08933189221112048,,,demographic,,Team effectiveness,160,,no
10.5465/ambpp.2019.15302abstract,,,demographic,Gender,Team performance,1313,,no
10.5465/ambpp.2017.11225abstract,,,job-related,Demographic and functional,Collaborative crowdsourcing success,,,no
10.1688/1862-0000_zfp_2012_04_breuninger,,Germany,,,Productivity,86,,yes
10.1111/joop.12152,,,,,Innovation/team performance,57,,no
10.1177/1046496417749727,,China,demographic,Ethnic,Group performance,34,540 employees,no
10.1177/1046496419865325,,,,,Innovation,32,243,no
10.1108/lodj-07-2019-0288,,China,,,creativity,68,331 employees,no
10.3389/fpsyg.2019.00699,2019,,,,Creativity,,,
10.1080/09585190210134309,,,demographic,age,return on assets and sales growth,,,no
10.5465/ambpp.2018.11760abstract,,United States,job-related,,Corporate social performance,90,,no
10.5465/ambpp.2017.15951abstract,2000,,job-related,,Variability in performance outcomes,35,,no
10.1108/cdi-11-2015-0154,,South Korea,demographic,Gender and age,Group performance,63,322 members and 63 group leaders,no
10.1111/j.1467-8551.2008.00591.x,,,cognitive; job-related,,Board task effectiveness,,,no
4652,,,cognitive; job-related,Personality,Decision quality,93,279,no
2600,,,,Personality trait dissimilarity,Team effectiveness in innovation management,,,
10.2307/256987,,,job-related,,Financial performance,57,,no
10.1016/j.brq.2015.08.003,2015,Spain,,,Innovation,205,,no
10.1108/ijaim-05-2021-0109,2017 [2016-2018],China,,Management gender,Firm financial performance,,,no
10.1002/1097-0266(200009)21:9<911::aid-smj124>3.0.co;2-9,,,,heterogeneity,Firm performance,,,no
10.1016/j.ijinfomgt.2008.05.009,,,,,Strategic performance,92,,no
36660,,Canada,,,Operating performance,,,no
10.5539/ijms.v4n6p116,2003.5 [2001-2006],England,demographic,Cultural,Sporting and economic performance,53,,no
10.1177/1059601115588641,,Portugal,demographic,gender,firm performance,,,no
10.1016/j.jcorpfin.2020.101766,,,,,Fund performance,,,no
10.5465/ambpp.2015.15808abstract,,,demographic; cognitive; job-related,Geographic,Innovation quality,,,no
36666,2007,"China (including mainland China, Hong Kong,; Taiwan)",demographic; job-related,"Functional and demographic , as well as national, regional, and company affiliations",Team innovation and team efficiency,,,no
10.1037/a0013077,,,job-related,"Age, nationality, and educational background",Team performance,62,,no
10.1111/joop.12015,,,demographic,Racial,Employee performance,,,no
10.4324/9781315689289,,global perspective,,race,creativity,,,
4761,,,job-related,,Team performance,33,,no
4669,,,demographic,"Race, sex, and age differences","Group performance, Individual performance",,,no
2639,,,,Functional,,,,
10.1111/j.1467-9310.2007.00501.x,,,job-related,,Radical innovation,95,,no
10.1002/hrm.21658,,,job-related,Professional,Interprofessional team performance,75,346,no
10.1111/1467-8551.12131,,Germany,demographic,Nationality,Team Performance,63,410,no
10.5465/ambpp.2019.18113abstract,2011,,demographic,"Age, gender, immigrant, and racial",Nonprofit survival and total revenues,,,no
10.1108/14601061311292841,,,,,Creativity,51,,no
10.1177/10464964211045015,,,,Conscientiousness,"Team satisfaction, team cohesion, information elaboration, and team performance",,,no
10.1037/gdn0000113,,,,,Team performance under disruptive and time-constrained situations,60,180 full-time workers,no
15742,,,cognitive,Gender,Decision Accuracy and Bias,,444,no
10.1080/10413200903204754,,United Kingdom,,,Performance level,,309,no
10.2139/ssrn.2203279,,Netherlands,demographic,Cultural,Innovation,,,no
10.1097/01.mlr.0000124306.28397.e2,,,,,Interdisciplinary team performance in long-term care settings,26,"1,220",no
43422,,,,ethnic,efficiency,,,
10.5897/ajbm11.853,,,,,Creativity,,,no
20890,,,demographic,demographic,Firm performance,66,,no
10.1177/1046496406294545,,,job-related,Ethnic and Gender,Cohesion and Performance,"N varied from 1,324 to 1,392 groups",,no
10.1037/a0036363,,,,,Creativity,145,,no
10.1177/1046496410377509,,,cognitive,Personality - openness to experience,Creativity,31,,yes
10.1177/1046496493243004,,,,,Creativity,22 small groups (3 to 5-person),,
10.1007/978-3-030-19685-1_5,,Australia,cognitive,metacognitive ability,entrepreneurial behavior and firm performance,105,,no
10.1111/kykl.12299,,Italy,demographic,Migrant,Team Performance,"3,999",,no
10.1111/deci.12217,,,,,Team performance,149,,no
10.1002/job.464,1943.5 [1929-1958],United States,,,Innovation (genre innovation),,,no
6367,,China,demographic; cognitive,Informational and Personality,Entrepreneurial Team Performance,200,,no
10.3724/sp.j.1041.2018.01159,,China,job-related,Cognitive,Creativity,76,342,no
10.1038/s41467-021-23424-1,2021,,demographic,Composite,Forecasting real geo-political events,,,no
10.1177/1059601192172004,,,demographic,Ethnic,Creativity,45,,no
10.1177/1046496420985614,,,job-related,English Language Proficiency (ELP),MNVT performance,45,,yes
10.1016/j.tsc.2015.11.001,2015,Taiwan,,,Innovation/Creativity,86,475,no
10.1108/mbr-03-2020-0054,,National football teams competing in national; international competitions,demographic; cognitive; job-related,Multiculturalism,Team performance,222 and 79,,no
10.1108/13527601211219838,,Japan,demographic,National,Team performance,,,no
10.1080/09585192.2014.991345,,,demographic,National,Team performance,45,272,no
10.5465/ambpp.2014.17058abstract,,,job-related,Nationality,Team performance,45,,no
10.5465/ambpp.2014.13288abstract,,,demographic,Nationality,,,,no
22410,,"UK, Netherlands,; Switzerland",demographic; cognitive,Nationality and international experience,Firm performance,,,no
10.5465/ambpp.2014.13610abstract,,Austria,job-related,Need for achievement (nfA),Entrepreneurial team effectiveness and efficiency,44,,no
10.5465/ambpp.2014.11682abstract,,India,demographic,Type: Geographical dispersion of hometown,Team performance,,,no
10.1111/j.1467-8691.2004.00291.x,,,,,Creativity,17,,no
10.2139/ssrn.1016118,,,,Yes,Yes,,,
5142,,,job-related,Cultural,Creativity and innovation,,,
10.1016/j.im.2008.02.004,,,,,Creativity and success in the market place,207,,no
7230,,,job-related,Functional .,New product innovativeness.,,,no
10.1016/j.jbusres.2013.06.005,,,job-related,,Creativity in new product portfolio,,,no
9990,,Kuwait,,,New venture average annual employment growth,,,no
10.1080/00472778.2022.2122481,,United States,demographic,Gender and education level,Acquisition likelihood,,,no
10.1108/jbs-06-2020-0119,,,,,Financial performance and Innovation performance,66,142,no
10.1016/j.jbusvent.2005.04.008,,,demographic,Team demographic characteristics,New venture performance,,,no
26843,,United States,demographic,Gender,Financial,,,no
36989,2010,Taiwan,demographic; cognitive; job-related,,Corporate performance,,,no
10.1037/apl0000097,2016,,,,Creativity,115,,no
10.5465/ambpp.2021.11210abstract,,,,,Creativity,170,,no
43069,,,,,"Overall performance, innovativeness, member satisfaction",33,,no
2356,,,,,team performance,,,
10.1002/smj.1983,,,,,creativity,,,no
10.5465/ambpp.2017.17322abstract,,,cognitive,Personality differences and differences in task-related interpersonal perceptions,Team performance and team effectiveness,60,300,no
10.3389/fpsyg.2017.01966,2017,,,,Team output,46,128,no
10.1123/jsm.21.1.58,,,job-related,,"organizational turnover intentions, group effectiveness",45,175,no
10.5465/ambpp.2019.14747abstract,,China,demographic,Openness to,Team creativity,87,,no
10.1080/10400419.2019.1577649,,,cognitive,Openness to experience,Creativity,53,347,no
10.5465/ambpp.2015.13090abstract,,,cognitive; job-related,Language and value,Creativity and performance,,1085,no
10.1016/j.ergon.2019.02.007,,,,,Team performance,185,294,yes
37128,,,,,Educational team performance,,,yes
10.1145/3555554,,,,,Productivity,117,,no
10.1111/joms.12016,,,job-related,Age,Organizational performance,,,no
10.1037/mil0000004,,South Korea,job-related,Organizational tenure,Combat performance,,,no
10.1108/ebr-12-2015-0177,2011,China; India,demographic,Multi- or cross-cultural,Project outcome,,,no
10.5465/ambpp.2019.13473abstract,1985 to 2015,,,,Innovation,,,no
10.5465/ambpp.2015.15050abstract,,,,Passion,Entrepreneurial team performance,77,,no
10.5465/ambpp.2020.16546abstract,,,demographic; cognitive,Trait,Team performance,68,103 healthcare practitioners and 173 research laboratory participants,no
10.1080/08995605.2021.1962177,2021,Italy,demographic,Age,Innovation,48,453,no
10.1080/00223989909599757,,,demographic,Gender and Minority,"Measures of group effectiveness (commitment, overall effectiveness, satisfaction, cohesion, trust, equal opportunity climate, and quality)",,,no
10.1108/02683940410543597,,,demographic,Gender,Perceptions of team performance,,216,yes
10.1037/h0023361,,,,,creativity,12,91,no
10.5465/ambpp.2014.16923abstract,,United States,,,Firm performance,,,no
10.1002/smj.2035,1996 [1985-2007],Germany,demographic; cognitive; job-related,Bio-Demographic/Task-related,Performance in the process of product diversification,61 firms,"2,730 expansion steps",no
10.1108/md-03-2014-0141,,,job-related,Gender,Pre-integration and Post-integration performance,,"310 acquisitions by Fortune 1,000 companies",no
37251,101,,,,National Science and Technology Program (NTP) performance evaluation,39,,no
10.1108/13527590410556845,,,demographic; cognitive; job-related,ethnic,creativity,,,
10.5465/ambpp.2020.11961abstract,2014 [2010-2018],,demographic,Ethnic,Start-up acquisition likelihood,,,no
10.1080/03043797.2014.914156,2007/2008,,,,Creativity,319,2043,yes
10.1111/ecin.12861,,,demographic,National and national identity,Team and individual performance,,,no
10.1177/0149206312453738,,South Korea,demographic; job-related,"Type: Social category (gender and age), Informational (education and work experience)",Performance Type: Leader-rated group performance,116,1101,no
10.1177/1046496409346577,,,,,Creativity,161 (107 undergraduate and 54 MBA),,yes
10.1016/j.paid.2013.10.019,,,,,Creativity,,,yes
10.1111/peps.12036,,,,,Organizational effectiveness,,,no
10.3923/ajaps.2016.62.69,2016,Malaysia,,,Team effectiveness,,275,yes
10.1002/ijop.12511,,,,,Creativity,,"220 in the first sample, 314 in the second sample",
10.1037/10507-004,,,job-related,Personality,Managerial team productivity,89,476,no
10.1177/1046496403257228,,,cognitive,Personality heterogeneity,Oral and written task,59,267 (business students),yes
10.1080/13594320143000573,,,,,Team performance,,,
10.7595/management.fon.2020.0006,,One Telecommunication Company,,,Teamwork performance,20,87,no
10.1007/978-1-4684-9969-8_8,,,demographic; cognitive; job-related,,creativity,,,
10.1108/tpm-11-2020-0096,,Belgium,,,Cognitive performance,,22,no
10.5465/ambpp.2016.13979abstract,,,job-related,Age and Location of study,Business idea generation and implementation,48,,no
10.5209/rev_sjop.2011.v14.n2.25,,,,,Team work,,,
10.1348/096317910x502494,,United Kingdom,,,Proactive performance.,43.,,no
10.1080/13594320143000690,,,cognitive; job-related,,Team performance,29,,yes
10.5465/amj.2017.0741,2008 [2004-2012],Sweden,job-related,Educational,Product innovation,,,no
10.1007/s10869-018-9550-0,,United Kingdom,cognitive,,Team effectiveness,70,,no
10.1002/job.2009,,,cognitive,Professional,Team innovation,70,,no
10.1097/hmr.0000000000000276,,,job-related,Professional faultlines,Innovation,70,,no
10.1177/1470595813510710,,"England, France, Germany, Italy,; Spain",demographic,Cultural,Team performance,98,2483,no
10.3389/fpsyg.2018.01083,,,job-related,Expertise,Innovative performance,98,,no
10.1007/s12144-022-03534-9,,,job-related,Gender,Team performance,178,,no
10.2307/2666999,,,,,Learning behavior and performance,51,,no
10.1016/s0167-4870(97)00036-6,,,,,Organizational performance in a competitive context,,,no
18474,,,demographic,Ethnic,"Financial, manager-rated, citizenship behaviors",121,703,yes
10.1037/h0044025,,,,Personality,Problem solving,,,
10.1504/ejim.2018.092843,,,demographic,Gender,Product innovation,,3540 manufacturing firms,no
10.1002/smj.2577,,,job-related,,Creativity,,,no
10.1177/0149206311424318,,,demographic,Racial,Firm performance (market share gain and average stock return),,,no
10.1177/104649640003100505,1973.5 [1950-1997],,demographic,"Age , Racial",Team Performance,"871 (Basketball), 1,082 (Baseball)",,no
10.2307/1556374,,,demographic,Racial,"Productivity, return on equity, and market performance",,,no
10.1177/0170840611435597,,,job-related,Racial,Bottom-line performance,,496,no
10.1016/j.jbusres.2016.01.036,,,job-related,Functional,Team performance,45,,yes
4405,,,cognitive,Personality traits,Effectiveness,,,
10.1111/j.1751-9004.2008.00103.x,,N/A,demographic; cognitive; job-related,ethnic,creativity,,,
10.1177/1059601118769192,,,job-related,Functional,Team performance,75,,no
10.5465/ambpp.2022.14800abstract,,,cognitive,Cognitive ability and geographical distance,Team performance,173,,no
10.1177/00936502221097040,,,demographic,Cultural,Team performance,104,,no
10.5465/ambpp.2013.13573abstract,,United States,job-related,Prior technological experience and proportion of newcomers,Innovation quality,"3,802 inventor teams",,no
10.5465/ambpp.2016.11747abstract,,,job-related,Disparity (multilevel and multidimensional construct),Subjective and objective performance,26 sports teams,997,no
10.1108/15253831311309465,2005,Western European economies,cognitive,,Performance of Multinational Enterprises (MNEs),,,no
10.1016/s0090-2616(98)90014-6,,,demographic; cognitive; job-related,Ethnic and other characteristics such as functional area and job tenure,Creativity,,,no
10.1037/0021-9010.83.3.377,,,,,Team viability and team performance,51,652,no
10.31234/osf.io/6v5n9,,,cognitive,,Collaborative problem solving,,,
43601,,,demographic,Gender and tenure,Group productivity,42,233,no
10.1177/1548051812455241,,,demographic,,Financial,52,"2,935",no
10.1111/j.1744-6570.1993.tb01571.x,1993,,,,"Productivity, employee satisfaction, and manager judgments",80,391 employees and 70 managers,no
10.31857/s020595920007860-2,,Russia,demographic,"Gender, Age, Length of group membership","Job effectiveness, socio-psychological effectiveness",41,334,no
10.1108/01437731111161094,,Germany,demographic,"Age, Gender, and Culture",Self-rated Performance,,283,no
4970,,United States,demographic,Ethnic,"Group cohesiveness, group performance, absenteeism, turnover, and member satisfaction",38,163,yes
37584,,unknown,,,"Group effectiveness, group identification, and group performance",,173,no
10.5465/ambpp.2007.26530064,,,job-related,,Process performance and software functionality,,,no
10.1037/0021-9010.91.3.727,,,,,Creativity,83 dyadic teams,,no
37589,2007,China,,,Firm Performance,,,no
10.5465/ambpp.2014.12712abstract,,,cognitive; job-related,Knowledge .,Project level performance.,,,no
10.1007/978-3-030-77198-0_3,,,,Task-relevant,Ideational creativity in groups,,,
4427,,,cognitive,functional,innovation,,"148 researchers in 29 interdisciplinary research labs, 180 master students in 41 new product development teams",yes
42013,,Australia,demographic; cognitive; job-related,,Creativity,,,
10.1017/jmo.2018.52,,,demographic,Gender,Group Performance,288,,no
37692,,Sweden,demographic,"Gender, Tenure, Age, Education, Nationality",Return on Equity and Return on Assets,,,no
10.5465/ambpp.2016.17940abstract,2011.5 [2009-2014],China,demographic,gender,organizational performance,,,no
10.1007/978-3-030-95346-1_181,,,,Gender,"Originality, usefulness and new product performance",,150 marketing and new product managers,no
10.5465/ambpp.2013.13617abstract,,,job-related,,Along-time vs. Cross-task Performance Variability,191,,no
2468,,,,Ethnic,Creativity,,,
10.1080/13662716.2015.1133278,1996 [1983-2009],United States,,Technological and functional in s,Raising funds through an IPO,,,no
10.2307/2391768,,,,,All aspects of group performance,49,,no
10.1108/lodj-12-2019-0516,,,job-related,Age,Work group performance,,214,no
37778,,97 different countries,demographic,"across age, gender, nationality, and occupational status",Workgroup performance,249,1351,
10.1177/01492063221082522,,,job-related,Racioethnic,Team performance,,,no
10.3758/bf03198105,1973,,demographic,Sex,Visual signal detection task,,48,no
10.1007/s10869-012-9273-6,,,,,Creativity,43,184,no
37802,,United States,,,Team performance and team work engagement,59,,yes
10.5465/ambpp.2016.12358abstract,,,demographic,,Team performance,75,,no
10.2307/20159921,,,,,Team performance as rated by clients,59,,no
43651,,,,Demographic,Team performance,,,no
10.1016/j.obhdp.2019.10.002,,,,affective,creativity,427,1625,no
10.5465/ambpp.2017.13996abstract,,,,,Creativity,,,no
10.1108/13620430810860549,,Sweden,demographic,Age,"Short-term (satisfaction, involvement, mutual learning, decision making, and feedback) and long-term (quality, sick leave, and burnout)",150,1500 (white-collar and blue-collar workers),no
10.1002/sej.1356,,United States,,,Venture performance,"1,863",,no
10.1108/cms-04-2017-0097,2008.5 [2003-2014],United States,,,IPO performance,,,no
10.2139/ssrn.2929009,,,,,Creativity and Innovation,,,
10.1007/s11187-015-9667-8,1999.5 [1998-2001],Denmark,,,,,,no
10.1016/j.ijindorg.2009.07.004,2009,,,,Project survival and performance,,,no
10.1287/orsc.2017.1158,,,,,Creativity,49,573,yes
10.1111/jpim.12295,2015,,,,Product innovativeness,98,,no
10.1177/1046496411398396,,,cognitive,,Information elaboration,43,172,
10.1080/10570319409374491,,,,,,6,48,no
10.1145/2961111.2962633,,,demographic,Social,Project growth (proxy for success),,,no
10.1016/j.jbusres.2021.04.071,,China,,,Disruptive innovation,,198,no
10.5465/ambpp.2014.16092symposium,,,,,Creativity and innovation,,,no
10.1287/isre.1120.0465,,,,,Productivity and job security,,,no
10.1007/s11135-018-0740-7,,China,,,Creativity,6,,no
10.1080/09669582.2017.1401631,,Spain,demographic,Gender,Corporate social responsibility (CSR),,,no
10.1353/jhe.2007.0032,,,demographic,Gender,Publication productivity,,,no
10.1111/joms.12277,2017,Belgium,,,TMT decision-making quality,55,300,no
10.1145/1216262.1216282,2006,,cognitive,personality,team performance,,,yes
10.1007/s12599-015-0372-6,2015,"Europe, Central; South America",job-related,National,Software quality and development speed,62,,no
10.1109/tem.2009.2033049,,,job-related,Informational,Software quality,75,299,no
